id,func_dp_nr,func_dp_naam,func_systeem,gbs_naam,object-id_gbs,opmerking
33,31,temperatuur retour verwarmingsbatterij,luchtgroep 1,11.02 DUNANT 1 -LG 11.02.120.001.PGEG01 - Kantoren.Changeover - Uittrede - Temperatuur,b8b55300-9f06-51e2-898d-ac0804fad656,
34,32,gevraagde temperatuur pulsielucht,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Uitblaaslucht - Werkings - Setpunt,94f68d82-912e-5379-a8a0-13e6b002f598,
35,33,temperatuur pulsielucht,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Uitblaaslucht - Temperatuur,e44a4fce-c145-5c19-a2fa-ab1b3726b68a,
36,34,temperatuur extractielucht,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Afvoerlucht - Temperatuur,a5b360e8-ec2e-5cc6-acb0-ed14c0b88c47,
37,35,Druk of debiet pulsiekanaal,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Uitblaaslucht - Statische Druk,993d0079-428c-528d-b7ff-03a9bd6b818e,
38,36,druk of debiet extractiekanaal,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Afvoerlucht - Statische Druk,e376d1f2-f6cb-5e8b-a422-0ef37853eede,
39,37,temperatuur verse lucht,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Buitenlucht - Temperatuur,1dae3cb8-fc23-5a81-b23e-581d74336d35,
40,38,sturing pulsieventilator,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Toevoerventilator - Sturing,285423da-08f3-50e1-830d-1da00f02b19d,
41,39,sturing extractieventilator,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Afvoerventilator - Sturing,f1baea94-09cd-55f2-964f-28a9e717c1ff,
42,40,stand klep verwarmingsbatterij,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Changeover - Sturing,e5797cc3-d62d-56f4-9eb5-87042b0950c4,
43,41,temperatuur vertrek verwarmingsbatterij,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Changeover - Intrede - Temperatuur,6ba0264e-644f-578e-ae1a-bdb6c09aec8d,
44,42,temperatuur retour verwarmingsbatterij,luchtgroep 2,11.02 DUNANT 1 -LG 11.02.120.001.PGEG02 - Auditorium-Practicum.Changeover - Uittrede - Temperatuur,80cc11b8-db67-56ba-9767-b91a6eff5e97,
45,43,gevraagde ruimtetemperatuur,zone 1,11.02 DUNANT 1 - Kantoren links.Basis setpunt ruimtetemperatuur,706a4928-9994-57ee-8e81-780be0502339,
46,43,gevraagde ruimtetemperatuur,zone 1,11.02 DUNANT 1 - Kantoren rechts.Basis setpunt ruimtetemperatuur,a0585364-e754-53c5-ae64-7ffd486e2237,
47,43,gevraagde ruimtetemperatuur,zone 1,11.02 DUNANT 1 -Kantoren links.Basis setpunt ruimtetemperatuur,439f352b-a349-547b-996c-b512f5e5e753,
48,43,gevraagde ruimtetemperatuur,zone 1,11.02 DUNANT 1 -Kantoren rechts.Basis setpunt ruimtetemperatuur,800c950e-eb6a-50cd-b239-08ffe5c96bf2,
49,44,ruimtetemperatuur,zone 1,11.02 DUNANT 1 - Kantoren links.Temperatuur,ba298cd6-2e20-5d5e-8b23-dd6f36801293,
50,44,ruimtetemperatuur,zone 1,11.02 DUNANT 1 - Kantoren rechts.Temperatuur,10ecf1e8-a22b-5919-9a01-7d6de31caea0,
51,44,ruimtetemperatuur,zone 1,11.02 DUNANT 1 -Kantoren links.Temperatuur,b70bb261-c83d-5216-beed-0ef6ed5dc2fe,
52,44,ruimtetemperatuur,zone 1,11.02 DUNANT 1 -Kantoren rechts.Temperatuur,9f93b5a4-ca32-59f3-bfe0-3bd9767b4e11,
53,45,ruimteco2,zone 1,11.02 DUNANT 1 - Kantoren links.CO2 meting,7ed29e63-1734-53ce-b25b-7080997500df,
54,45,ruimteco2,zone 1,11.02 DUNANT 1 - Kantoren rechts.CO2 meting,24c2226c-f286-53b5-bc80-72f801dd9173,
55,45,ruimteco2,zone 1,11.02 DUNANT 1 -Kantoren links.CO2 meting,0bef4a09-fe33-521a-a841-3cafaa1442ec,
56,45,ruimteco2,zone 1,11.02 DUNANT 1 -Kantoren rechts.CO2 meting,d69a1969-e6e4-52e9-a907-eb7f57c4c049,
57,46,stand klep verwarming,zone 1,11.02 DUNANT 1 - Zones verdieping 00.Ventiel 1 vloerverw-koel - Regeling,a70d56ad-bd2c-5d4d-938a-4490491699b1,
58,46,stand klep verwarming,zone 1,11.02 DUNANT 1 - Zones verdieping 01.Ventiel 1 vloerverw-koel - Regeling,362dd587-3c70-51e7-a9a3-46880469fd48,
59,47,gevraagde ruimtetemperatuur,zone 2,11.02 DUNANT 1 -Auditorium.Basis setpunt ruimtetemperatuur,303c2079-6fdc-5396-aab4-3c93fb3f8c08,
60,47,gevraagde ruimtetemperatuur,zone 2,11.02 DUNANT 1 -Practicum.Basis setpunt ruimtetemperatuur,7967da37-abdb-564b-93ba-60d19e4ccda0,
61,47,gevraagde ruimtetemperatuur,zone 2,11.02 DUNANT 1 -Studie.Basis setpunt ruimtetemperatuur,90bc5aab-f63b-56e5-b0d2-114f18228ea7,
62,48,ruimtetemperatuur,zone 2,11.02 DUNANT 1 -Auditorium.Temperatuur,9e5dc4e5-b2bb-5acc-937a-eddaafe71ca5,
63,48,ruimtetemperatuur,zone 2,11.02 DUNANT 1 -Practicum.Temperatuur vanuit Systeem,e805689a-aa84-5d7d-af6b-191cde40f9d9,
64,48,ruimtetemperatuur,zone 2,11.02 DUNANT 1 -Studie.Temperatuur,4406a585-01b0-5dbd-96aa-6372fbe8a649,
65,49,ruimteco2,zone 2,11.02 DUNANT 1 -Auditorium.CO2 meting,57307dea-2e6d-556f-af8e-2860928d79ab,
66,49,ruimteco2,zone 2,11.02 DUNANT 1 -Practicum.- CO2 meting vanuit Systeem,1783290e-7ba9-567b-8f3d-60ab61c32204,
67,49,ruimteco2,zone 2,11.02 DUNANT 1 -Studie.CO2 meting,befcf2e3-c944-5488-bb20-903ef7fdc5c0,
68,50,stand klep verwarming,zone 2,11.02 DUNANT 1 -Auditorium.Ventiel naverwarming - Sturing,8eae2f1f-29c5-5823-b22d-a0cdd5944ab5,
69,50,stand klep verwarming,zone 2,11.02 DUNANT 1 - Warmtedist HT - Kring 01 - Radiatoren.Mengklep - Sturing,d1e742e3-7def-5cf5-9748-69f10de5496b,
