timestamp,f_1,f_2,f_3,f_4,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55
2026-03-09T01:40:00Z,8.0,0.7799999999988358,1.0,44.202965,36.681908,1.0,46.29822,44.640636,0.0,45.624077,1.0,0.0,0.0,0.9754019,4.0,0.4350000000013097,40.616432,35.42737,1.0,23.0,22.940481,20.196318,1966.002,250.00201,6.6070004,45.78638,59.705124,14.331977,22.901459,22.43461,24.0,19.508547,19.663702,4.0753083,5.3214684,9.128132,0.0,0.0,0.7286676,21.215206,21.015589,21.25,19.762138999999998,503.68702,50.0,19.666666666666668,20.702750666666667,487.28523333333334,0.0,4.409119,100.0,0.383131,61.53436,0.0
2026-03-09T01:50:00Z,7.0,0.8800000000010186,1.0,44.202965,36.681908,1.0,45.668377,44.640636,0.0,45.16221,1.0,0.0,0.0,0.9754019,3.5,0.4850000000005821,40.76554,35.415527,1.0,23.0,23.238619,20.344908,1966.8628,250.00201,6.7580576,45.78638,59.705124,12.189979,23.107157,22.754614,24.0,19.508547,19.514927,4.0753083,5.3214684,9.128132,0.0,0.0,0.7286676,21.364798,21.166332,21.25,19.762138999999998,509.104775,50.0,19.666666666666668,20.652851333333334,484.28494,0.0,4.194966,100.0,0.302035,148.566056,0.0
2026-03-09T02:00:00Z,8.0,0.7799999999988358,1.0,44.202965,36.681908,1.0,45.359226,44.640636,0.0,44.529156,1.0,0.0,0.0,0.9754019,4.0,0.4350000000013097,41.07498,35.26035,1.0,23.0,22.93747,20.344908,1967.0159,250.00201,6.7580576,45.78638,59.705124,14.30963,22.739367,22.237463,24.0,19.508547,19.514927,4.0753083,5.3214684,9.128132,0.0,0.0,0.7286676,21.51348,21.319868,21.25,19.83752475,505.49055,50.0,19.666666666666668,20.60287,486.98046,0.0,4.015312,100.0,0.3,318.981328,0.0
2026-03-09T02:10:00Z,8.0,0.8800000000010186,1.0,43.708927,36.203815,1.0,45.053825,0.0,0.0,45.048893,0.0,0.0,0.0,0.9754019,4.0,0.49499999999898137,41.38626,34.362514,1.0,23.0,23.088297,20.344908,1976.8066,250.00201,6.7580576,45.78638,59.705124,13.29698,23.058384,22.566856,24.0,19.508547,19.514927,4.0753083,5.3214684,9.128132,0.0,0.0,0.7286676,21.51348,21.47028,21.25,19.83752475,510.6974,50.0,19.666666666666668,20.668389333333334,491.2010766666667,0.0,3.848146,100.0,0.470621,3.491312,0.0
2026-03-09T02:20:00Z,4.0,0.819999999999709,0.0,36.28303,35.14864,0.0,44.418583,0.0,0.0,44.24641,0.0,0.0,0.0,0.9754019,2.0,0.42000000000189175,36.719994,33.09404,1.0,23.0,22.939348,20.344908,1977.2073,250.00201,6.946313,45.78638,59.705124,13.345664,22.741589,22.256016,24.0,19.508547,19.514927,4.0753083,5.3214684,9.128132,0.0,0.0,0.7286676,21.66604,21.62363,21.25,19.8755275,513.1261,50.0,19.666666666666668,20.668389333333334,486.4771333333333,0.0,3.803154,100.0,0.348541,30.650105,0.0
2026-03-09T02:30:00Z,0.0,0.029999999998835847,0.0,33.234837,32.85956,1.0,43.78832,0.0,0.0,43.61607,0.0,0.0,0.0,0.9754019,0.0,0.014999999999417923,33.24236,31.458141,1.0,23.0,23.090538,20.344908,1975.1107,250.00201,6.946313,45.78638,59.705124,13.341846,23.066813,22.576248,24.0,19.508547,19.514927,4.0753083,5.3214684,9.128132,0.0,0.0,0.7286676,21.817198,21.778025,21.25,19.91317825,514.5708775,50.0,19.666666666666668,20.615347333333332,488.5327333333333,0.0,3.682307,100.0,0.313661,45.0896,0.0
2026-03-09T02:40:00Z,5.0,0.7000000000007276,1.0,39.972603,32.548767,1.0,43.14756,0.0,0.0,42.527576,0.0,0.0,0.0,0.9754019,2.5,0.3499999999985448,35.87107,32.08745,1.0,23.0,22.942022,20.344908,1975.5505,250.00201,6.5904703,45.78638,59.705124,12.3498335,22.750013,22.42374,24.0,19.508547,19.514927,4.0753083,5.3214684,8.970925,0.0,0.0,0.7286676,21.966831,21.932524,21.25,19.91317825,519.447825,50.0,19.666666666666668,20.615347333333332,486.95148333333333,0.0,3.581816,100.0,0.3,169.344189,0.0
2026-03-09T02:50:00Z,8.0,0.7999999999992724,1.0,41.766903,34.289722,1.0,42.170498,0.0,0.0,41.42172,0.0,0.0,0.0,0.9754019,4.0,0.4000000000014552,37.75552,33.4325,1.0,23.0,22.942022,20.344908,1973.8861,250.00201,6.5904703,45.78638,59.705124,13.377241,22.750013,22.42374,24.0,19.508547,19.514927,4.0753083,5.3214684,8.970925,0.0,0.0,0.7286676,22.118063,21.932524,21.25,19.98790975,516.8624125,50.0,19.666666666666668,20.666934666666666,488.41132666666664,0.0,3.435358,100.0,0.3,310.253016,0.0
2026-03-09T03:00:00Z,8.0,0.8899999999994179,1.0,42.677174,35.382942,1.0,41.36151,0.0,0.0,40.311943,0.0,0.0,0.0,0.9754019,4.0,0.44499999999970896,38.98093,34.251266,1.0,23.0,23.094162,20.344908,1978.043,250.00201,6.5904703,45.78638,59.705124,12.375822,22.75335,22.422443,24.0,19.508547,19.514927,4.0753083,5.3214684,8.970925,0.0,0.0,0.7286676,22.266998,22.085915,21.25,19.98790975,516.89637,50.0,19.666666666666668,20.666934666666666,488.20662666666664,0.0,3.352939,100.0,0.3,210.140132,0.0
2026-03-09T03:10:00Z,8.0,0.7900000000008731,1.0,43.51778,36.059937,1.0,50.3151,48.103134,0.0,49.481415,1.0,0.0,0.0,0.9754019,25.5,0.4150000000008731,39.754025,34.784195,1.0,23.0,22.791727,20.494463,1978.0276,250.00201,6.936979,45.78638,59.705124,15.600593,22.587763,22.093864,24.0,19.508547,19.365078,4.0753083,5.3214684,9.125355,0.0,0.0,0.7286676,22.266998,22.235844,21.25,19.98790975,518.0989,50.0,19.666666666666668,20.666934666666666,488.44318666666663,14.812331,3.249506,100.0,0.3,182.971437,0.0
